ticker,upward_runs_count,upward_total_days,upward_longest_streak,upward_avg_length,downward_runs_count,downward_total_days,downward_longest_streak,downward_avg_length,total_runs,momentum_score,analysis_date
AAPL,61,134,8,2.19672131147541,61,115,8,1.8852459016393444,122,0,2025-09-26 22:40:20
MSFT,69,137,8,1.9855072463768115,69,113,5,1.6376811594202898,138,0,2025-09-26 22:40:20
GOOGL,62,136,10,2.193548387096774,61,113,6,1.8524590163934427,123,1,2025-09-26 22:40:21
AMZN,66,129,6,1.9545454545454546,66,121,6,1.8333333333333333,132,0,2025-09-26 22:40:21
TSLA,60,124,7,2.066666666666667,59,126,6,2.135593220338983,119,1,2025-09-26 22:40:21
NVDA,70,135,6,1.9285714285714286,71,115,5,1.619718309859155,141,-1,2025-09-26 22:40:21
META,63,128,20,2.0317460317460316,64,122,7,1.90625,127,-1,2025-09-26 22:40:21
NFLX,63,138,11,2.1904761904761907,64,112,6,1.75,127,-1,2025-09-26 22:40:21
JPM,64,144,9,2.25,62,105,6,1.6935483870967742,126,2,2025-09-26 22:40:21
BAC,61,135,7,2.2131147540983607,60,111,6,1.85,121,1,2025-09-26 22:40:21
GS,68,140,8,2.0588235294117645,67,110,4,1.6417910447761195,135,1,2025-09-26 22:40:21
MS,68,140,11,2.0588235294117645,68,110,5,1.6176470588235294,136,0,2025-09-26 22:40:21
C,64,140,11,2.1875,65,108,5,1.6615384615384616,129,-1,2025-09-26 22:40:21
V,67,140,9,2.08955223880597,66,110,6,1.6666666666666667,133,1,2025-09-26 22:40:21
MA,68,138,6,2.0294117647058822,68,112,6,1.6470588235294117,136,0,2025-09-26 22:40:21
PYPL,74,129,9,1.7432432432432432,74,121,4,1.635135135135135,148,0,2025-09-26 22:40:21
JNJ,65,136,6,2.0923076923076924,64,114,6,1.78125,129,1,2025-09-26 22:40:21
PFE,67,123,6,1.835820895522388,66,124,6,1.878787878787879,133,1,2025-09-26 22:40:21
MRK,67,120,6,1.791044776119403,67,129,6,1.9253731343283582,134,0,2025-09-26 22:40:21
UNH,64,127,5,1.984375,64,123,8,1.921875,128,0,2025-09-26 22:40:21
ABBV,59,129,8,2.1864406779661016,57,120,8,2.1052631578947367,116,2,2025-09-26 22:40:21
WMT,59,139,8,2.3559322033898304,59,110,10,1.8644067796610169,118,0,2025-09-26 22:40:21
COST,61,125,7,2.0491803278688523,62,125,6,2.0161290322580645,123,-1,2025-09-26 22:40:21
PG,63,131,11,2.0793650793650795,63,119,7,1.8888888888888888,126,0,2025-09-26 22:40:21
KO,64,119,7,1.859375,63,129,5,2.0476190476190474,127,1,2025-09-26 22:40:21
PEP,72,121,6,1.6805555555555556,71,128,10,1.8028169014084507,143,1,2025-09-26 22:40:21
MCD,64,131,6,2.046875,63,119,6,1.8888888888888888,127,1,2025-09-26 22:40:21
TGT,71,118,4,1.6619718309859155,71,132,6,1.8591549295774648,142,0,2025-09-26 22:40:21
XOM,59,136,8,2.305084745762712,58,114,10,1.9655172413793103,117,1,2025-09-26 22:40:21
CVX,60,142,8,2.3666666666666667,60,108,8,1.8,120,0,2025-09-26 22:40:21
COP,62,131,7,2.1129032258064515,61,119,6,1.9508196721311475,123,1,2025-09-26 22:40:21
BA,64,134,6,2.09375,63,116,7,1.8412698412698412,127,1,2025-09-26 22:40:21
CAT,60,127,7,2.1166666666666667,60,123,6,2.05,120,0,2025-09-26 22:40:21
GE,63,145,10,2.3015873015873014,63,105,4,1.6666666666666667,126,0,2025-09-26 22:40:21
MMM,64,127,8,1.984375,65,122,7,1.876923076923077,129,-1,2025-09-26 22:40:21
DIS,74,123,9,1.662162162162162,73,127,7,1.7397260273972603,147,1,2025-09-26 22:40:21
CMCSA,71,126,6,1.7746478873239437,70,121,6,1.7285714285714286,141,1,2025-09-26 22:40:21
T,64,140,8,2.1875,62,109,6,1.7580645161290323,126,2,2025-09-26 22:40:21
VZ,63,124,6,1.9682539682539681,63,124,6,1.9682539682539681,126,0,2025-09-26 22:40:21
ORCL,65,138,7,2.123076923076923,65,112,5,1.7230769230769232,130,0,2025-09-26 22:40:21
ADBE,65,126,7,1.9384615384615385,64,123,6,1.921875,129,1,2025-09-26 22:40:21
CRM,68,128,5,1.8823529411764706,67,122,5,1.8208955223880596,135,1,2025-09-26 22:40:21
INTC,61,113,6,1.8524590163934427,61,135,7,2.2131147540983607,122,0,2025-09-26 22:40:21
AMD,56,126,7,2.25,57,124,6,2.175438596491228,113,-1,2025-09-26 22:40:21
